Question,Answer
How many people are affected by Horner syndrome ?,"About 1 in 6,250 babies are born with Horner syndrome. The incidence of Horner syndrome that appears later is unknown, but it is considered an uncommon disorder."
Is Horner syndrome inherited ?,"Horner syndrome is usually not inherited and occurs in individuals with no history of the disorder in their family. Acquired Horner syndrome and most cases of congenital Horner syndrome have nongenetic causes. Rarely, congenital Horner syndrome is passed down within a family in a pattern that appears to be autosomal dominant, which means one copy of an altered gene in each cell is sufficient to cause the disorder. However, no genes associated with Horner syndrome have been identified."
What are the treatments for Horner syndrome ?,"These resources address the diagnosis or management of Horner syndrome: - Genetic Testing Registry: Horner syndrome, congenital These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care"
How many people are affected by giant axonal neuropathy ?,Giant axonal neuropathy is a very rare disorder; the incidence is unknown.
Is giant axonal neuropathy inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
What are the treatments for giant axonal neuropathy ?,These resources address the diagnosis or management of giant axonal neuropathy: - Gene Review: Gene Review: Giant Axonal Neuropathy - Genetic Testing Registry: Giant axonal neuropathy These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by familial hemophagocytic lymphohistiocytosis ?,"Familial hemophagocytic lymphohistiocytosis occurs in approximately 1 in 50,000 individuals worldwide."
Is familial hemophagocytic lymphohistiocytosis inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
How many people are affected by dopamine transporter deficiency syndrome ?,Dopamine transporter deficiency syndrome appears to be a rare disease; only about 20 affected individuals have been described in the medical literature. Researchers believe that the condition is probably underdiagnosed because its signs and symptoms overlap with cerebral palsy and other movement disorders.
Is dopamine transporter deficiency syndrome inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
What are the treatments for dopamine transporter deficiency syndrome ?,These resources address the diagnosis or management of dopamine transporter deficiency syndrome: - Gene Review: Gene Review: Parkinson Disease Overview - Genetic Testing Registry: Infantile Parkinsonism-dystonia These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by globozoospermia ?,"Globozoospermia is a rare condition that is estimated to affect 1 in 65,000 men. It is most common in North Africa, where it accounts for approximately 1 in 100 cases of male infertility."
Is globozoospermia inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
How many people are affected by recurrent hydatidiform mole ?,"Hydatidiform moles occur in 1 in 600 to 1,000 pregnancies in western countries and are more common in developing countries. One to six percent of previously affected women will have a recurrent hydatidiform mole."
Is recurrent hydatidiform mole inherited ?,"This condition is often inherited in an autosomal recessive pattern, which means a woman has to have mutations in both copies of the gene in each of her cells to have recurrent hydatidiform mole pregnancies. Because the mutations are present in all of a woman's cells, including oocytes (which need these genes to promote normal embryonic development), a hydatidiform mole will develop in each pregnancy that occurs with those egg cells."
How many people are affected by core binding factor acute myeloid leukemia ?,"Acute myeloid leukemia occurs in approximately 3.5 per 100,000 individuals each year. CBF-AML accounts for 12 to 15 percent of acute myeloid leukemia cases in adults."
Is core binding factor acute myeloid leukemia inherited ?,CBF-AML is not inherited but arises from genetic rearrangements in the body's cells that occur after conception.
How many people are affected by Gillespie syndrome ?,The prevalence of Gillespie syndrome is unknown. Only a few dozen affected individuals have been described in the medical literature. It has been estimated that Gillespie syndrome accounts for about 2 percent of cases of aniridia.
How many people are affected by pachyonychia congenita ?,"Although the prevalence of pachyonychia congenita is unknown, it appears to be rare. There are probably several thousand people worldwide with this disorder."
How many people are affected by lattice corneal dystrophy type II ?,"Lattice corneal dystrophy type II is a rare condition; however, the prevalence is unknown. While this condition can be found in populations worldwide, it was first described in Finland and is more common there."
Is lattice corneal dystrophy type II inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder. Although a mutation in one copy of the gene can cause the disorder, people with mutations in both copies of the gene have more severe signs and symptoms."
How many people are affected by Nager syndrome ?,"Nager syndrome is a rare condition, although its prevalence is unknown. More than 75 cases have been reported in the medical literature."
What are the treatments for Nager syndrome ?,These resources address the diagnosis or management of Nager syndrome: - Genetic Testing Registry: Nager syndrome - University of California San Francisco Medical Center These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by Meier-Gorlin syndrome ?,"Meier-Gorlin syndrome is a rare condition; however, its prevalence is unknown."
Is Meier-Gorlin syndrome inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
How many people are affected by proopiomelanocortin deficiency ?,POMC deficiency is a rare condition; approximately 50 cases have been reported in the medical literature.
Is proopiomelanocortin deficiency inherited ?,"POMC deficiency is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with this condition each carry one copy of the mutated gene. They typically do not have POMC deficiency, but they may have an increased risk of obesity."
How many people are affected by leukoencephalopathy with vanishing white matter ?,"The prevalence of leukoencephalopathy with vanishing white matter is unknown. Although it is a rare disorder, it is believed to be one of the most common inherited diseases that affect the white matter."
Is leukoencephalopathy with vanishing white matter inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
How many people are affected by capillary malformation-arteriovenous malformation syndrome ?,"CM-AVM is thought to occur in at least 1 in 100,000 people of northern European origin. The prevalence of the condition in other populations is unknown."
Is capillary malformation-arteriovenous malformation syndrome inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder. In most cases, an affected person inherits the mutation from one affected parent. Other cases result from new mutations in the gene and occur in people with no history of the disorder in their family."
What are the treatments for capillary malformation-arteriovenous malformation syndrome ?,These resources address the diagnosis or management of CM-AVM: - Gene Review: Gene Review: RASA1-Related Disorders - Genetic Testing Registry: Capillary malformation-arteriovenous malformation These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by 6q24-related transient neonatal diabetes mellitus ?,"Between 1 in 215,000 and 1 in 400,000 babies are born with diabetes mellitus. In about half of these babies, the diabetes is transient. Researchers estimate that approximately 70 percent of transient diabetes in newborns is caused by 6q24-related transient neonatal diabetes mellitus."
How many people are affected by nonbullous congenital ichthyosiform erythroderma ?,"NBCIE is estimated to affect 1 in 200,000 to 300,000 individuals in the United States. This condition is more common in Norway, where an estimated 1 in 90,000 people are affected."
Is nonbullous congenital ichthyosiform erythroderma inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
Is type 1 diabetes inherited ?,"A predisposition to develop type 1 diabetes is passed through generations in families, but the inheritance pattern is unknown."
How many people are affected by campomelic dysplasia ?,"The prevalence of campomelic dysplasia is uncertain; estimates range from 1 in 40,000 to 200,000 people."
Is campomelic dysplasia inherited ?,"Campomelic dysplasia is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder. Most cases result from new mutations in or near the SOX9 gene and occur in people with no history of the disorder in their family. Rarely, affected individuals inherit a chromosome abnormality from a parent who may or may not show mild signs and symptoms of campomelic dysplasia."
How many people are affected by glycogen storage disease type 0 ?,"The prevalence of GSD 0 is unknown; fewer than 10 people with the muscle type and fewer than 30 people with the liver type have been described in the scientific literature. Because some people with muscle GSD 0 die from sudden cardiac arrest early in life before a diagnosis is made and many with liver GSD 0 have mild signs and symptoms, it is thought that GSD 0 may be underdiagnosed."
Is glycogen storage disease type 0 inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
What are the treatments for glycogen storage disease type 0 ?,"These resources address the diagnosis or management of glycogen storage disease type 0: - Genetic Testing Registry: Glycogen storage disease 0, muscle - Genetic Testing Registry: Hypoglycemia with deficiency of glycogen synthetase in the liver These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care"
How many people are affected by congenital fiber-type disproportion ?,"Congenital fiber-type disproportion is thought to be a rare condition, although its prevalence is unknown."
How many people are affected by type A insulin resistance syndrome ?,"Type A insulin resistance syndrome is estimated to affect about 1 in 100,000 people worldwide. Because females have more health problems associated with the condition, it is diagnosed more often in females than in males."
What are the treatments for type A insulin resistance syndrome ?,These resources address the diagnosis or management of type A insulin resistance syndrome: - Genetic Testing Registry: Insulin-resistant diabetes mellitus AND acanthosis nigricans These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by long-chain 3-hydroxyacyl-CoA dehydrogenase deficiency ?,"The incidence of LCHAD deficiency is unknown. One estimate, based on a Finnish population, indicates that 1 in 62,000 pregnancies is affected by this disorder. In the United States, the incidence is probably much lower."
Is long-chain 3-hydroxyacyl-CoA dehydrogenase deficiency inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
What are the treatments for long-chain 3-hydroxyacyl-CoA dehydrogenase deficiency ?,These resources address the diagnosis or management of LCHAD deficiency: - Baby's First Test - Genetic Testing Registry: Long-chain 3-hydroxyacyl-CoA dehydrogenase deficiency - MedlinePlus Encyclopedia: Hypoglycemia - MedlinePlus Encyclopedia: Peripheral Neuropathy These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by optic atrophy type 1 ?,"Optic atrophy type 1 is estimated to affect 1 in 50,000 people worldwide. This condition is more common in Denmark, where it affects approximately 1 in 10,000 people."
Is optic atrophy type 1 inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder."
How many people are affected by geleophysic dysplasia ?,Geleophysic dysplasia is a rare disorder whose prevalence is unknown. More than 30 affected individuals have been reported.
Is geleophysic dysplasia inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
What are the treatments for geleophysic dysplasia ?,These resources address the diagnosis or management of geleophysic dysplasia: - Gene Review: Gene Review: Geleophysic Dysplasia - Genetic Testing Registry: Geleophysic dysplasia 2 - MedlinePlus Encyclopedia: Short Stature These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by hereditary sensory and autonomic neuropathy type V ?,HSAN5 is very rare. Only a few people with the condition have been identified.
Is hereditary sensory and autonomic neuropathy type V inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
What are the treatments for hereditary sensory and autonomic neuropathy type V ?,These resources address the diagnosis or management of HSAN5: - Genetic Testing Registry: Congenital sensory neuropathy with selective loss of small myelinated fibers These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by cardiofaciocutaneous syndrome ?,Cardiofaciocutaneous syndrome is a very rare condition whose incidence is unknown. Researchers estimate that 200 to 300 people worldwide have this condition.
Is cardiofaciocutaneous syndrome inherited ?,"Cardiofaciocutaneous syndrome is considered to be an autosomal dominant condition, which means one copy of an altered gene in each cell is sufficient to cause the disorder. Cardiofaciocutaneous syndrome usually results from new gene mutations and occurs in people with no history of the disorder in their family. In a few reported cases, an affected person has inherited the condition from an affected parent."
What are the treatments for cardiofaciocutaneous syndrome ?,These resources address the diagnosis or management of cardiofaciocutaneous syndrome: - Gene Review: Gene Review: Cardiofaciocutaneous Syndrome - Genetic Testing Registry: Cardiofaciocutaneous syndrome These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by UV-sensitive syndrome ?,"UV-sensitive syndrome appears to be a rare condition; only a small number of affected individuals have been reported in the scientific literature. However, this condition may be underdiagnosed."
Is UV-sensitive syndrome inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
How many people are affected by PDGFRA-associated chronic eosinophilic leukemia ?,"PDGFRA-associated chronic eosinophilic leukemia is a rare condition; however, the exact prevalence is unknown."
How many people are affected by Tay-Sachs disease ?,"Tay-Sachs disease is very rare in the general population. The genetic mutations that cause this disease are more common in people of Ashkenazi (eastern and central European) Jewish heritage than in those with other backgrounds. The mutations responsible for this disease are also more common in certain French-Canadian communities of Quebec, the Old Order Amish community in Pennsylvania, and the Cajun population of Louisiana."
Is Tay-Sachs disease inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
What are the treatments for Tay-Sachs disease ?,These resources address the diagnosis or management of Tay-Sachs disease: - Gene Review: Gene Review: Hexosaminidase A Deficiency - Genetic Testing Registry: Tay-Sachs disease - MedlinePlus Encyclopedia: Tay-Sachs Disease These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by Fryns syndrome ?,The worldwide incidence of Fryns syndrome is unknown. More than 50 affected individuals have been reported in the medical literature. Studies suggest that Fryns syndrome occurs in 1.3 to 10 percent of all cases of congenital diaphragmatic hernia.
What are the genetic changes related to Fryns syndrome ?,"The cause of Fryns syndrome is unknown. The disorder is thought to be genetic because it tends to run in families and has features similar to those of other genetic disorders. Duplications and deletions in several chromosome regions have been associated with congenital diaphragmatic hernia and some of the other features of Fryns syndrome. However, no specific genetic change has been found to cause all of the signs and symptoms of this disorder."
Is Fryns syndrome inherited ?,"Fryns syndrome appears to be inherited in an autosomal recessive pattern, which means both copies of a gene in each cell have mutations. However, no associated gene has been identified. The parents of an individual with an autosomal recessive condition each carry one copy of the altered gene, but they typically do not show signs and symptoms of the condition."
How many people are affected by malonyl-CoA decarboxylase deficiency ?,This condition is very rare; fewer than 30 cases have been reported.
Is malonyl-CoA decarboxylase deficiency inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
What are the treatments for malonyl-CoA decarboxylase deficiency ?,These resources address the diagnosis or management of malonyl-CoA decarboxylase deficiency: - Baby's First Test - Genetic Testing Registry: Deficiency of malonyl-CoA decarboxylase These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by sick sinus syndrome ?,Sick sinus syndrome accounts for 1 in 600 patients with heart disease who are over age 65. The incidence of this condition increases with age.
How many people are affected by GM3 synthase deficiency ?,"GM3 synthase deficiency appears to be a rare condition. About 50 cases have been reported, mostly from Old Order Amish communities."
Is GM3 synthase deficiency inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
What are the treatments for GM3 synthase deficiency ?,"These resources address the diagnosis or management of GM3 synthase deficiency: - American Epilepsy Society: Find a Doctor - Clinic for Special Children (Strasburg, Pennsylvania) - Genetic Testing Registry: Amish infantile epilepsy syndrome These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care"
How many people are affected by Myhre syndrome ?,"Myhre syndrome is a rare disorder. Only about 30 cases have been documented in the medical literature. For reasons that are unknown, most affected individuals have been males."
Is Myhre syndrome inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder."
How many people are affected by ADCY5-related dyskinesia ?,The prevalence of ADCY5-related dyskinesia is unknown. At least 50 affected individuals have been described in the medical literature.
Is ADCY5-related dyskinesia inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder. In some cases, an affected person inherits the mutation from one affected parent. Other cases result from new mutations in the gene and occur in people with no history of the disorder in their family."
What are the treatments for ADCY5-related dyskinesia ?,"These resources address the diagnosis or management of ADCY5-related dyskinesia: - Gene Review: Gene Review: ADCY5-Related Dyskinesia - Genetic Testing Registry: Dyskinesia, familial, with facial myokymia - National Ataxia Foundation: Movement Disorder Clinics These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care"
How many people are affected by Shwachman-Diamond syndrome ?,Researchers are not sure how common Shwachman-Diamond syndrome is. Several hundred cases have been reported in scientific studies.
Is Shwachman-Diamond syndrome inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
What are the treatments for Shwachman-Diamond syndrome ?,These resources address the diagnosis or management of Shwachman-Diamond syndrome: - Gene Review: Gene Review: Shwachman-Diamond Syndrome - Genetic Testing Registry: Shwachman syndrome - MedlinePlus Encyclopedia: Malabsorption These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
What are the genetic changes related to essential tremor ?,"The causes of essential tremor are unknown. Researchers are studying several areas (loci) on particular chromosomes that may be linked to essential tremor, but no specific genetic associations have been confirmed. Several genes as well as environmental factors likely help determine an individual's risk of developing this complex condition. The specific changes in the nervous system that account for the signs and symptoms of essential tremor are unknown."
What are the treatments for essential tremor ?,These resources address the diagnosis or management of essential tremor: - Genetic Testing Registry: Hereditary essential tremor 1 - Johns Hopkins Movement Disorders Center - MedlinePlus Encyclopedia: Essential Tremor These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by spastic paraplegia type 7 ?,"The prevalence of all hereditary spastic paraplegias combined is estimated to be 2 to 6 in 100,000 people worldwide. Spastic paraplegia type 7 likely accounts for only a small percentage of all spastic paraplegia cases."
Is spastic paraplegia type 7 inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
How many people are affected by Duchenne and Becker muscular dystrophy ?,"Duchenne and Becker muscular dystrophies together affect 1 in 3,500 to 5,000 newborn males worldwide. Between 400 and 600 boys in the United States are born with these conditions each year."
How many people are affected by combined pituitary hormone deficiency ?,"The prevalence of combined pituitary hormone deficiency is estimated to be 1 in 8,000 individuals worldwide."
How many people are affected by multiple mitochondrial dysfunctions syndrome ?,"Multiple mitochondrial dysfunctions syndrome is a rare condition; its prevalence is unknown. It is one of several conditions classified as mitochondrial disorders, which affect an estimated 1 in 5,000 people worldwide."
Is multiple mitochondrial dysfunctions syndrome inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
How many people are affected by Charcot-Marie-Tooth disease ?,"Charcot-Marie-Tooth disease is the most common inherited disorder that involves the peripheral nerves, affecting an estimated 150,000 people in the United States. It occurs in populations worldwide with a prevalence of about 1 in 2,500 individuals."
How many people are affected by hypophosphatasia ?,"Severe forms of hypophosphatasia affect an estimated 1 in 100,000 newborns. Milder cases, such as those that appear in childhood or adulthood, probably occur more frequently. Hypophosphatasia has been reported worldwide in people of various ethnic backgrounds. This condition appears to be most common in white populations. It is particularly frequent in a Mennonite population in Manitoba, Canada, where about 1 in 2,500 infants is born with severe features of the condition."
How many people are affected by supravalvular aortic stenosis ?,"SVAS occurs in 1 in 20,000 newborns worldwide."
Is supravalvular aortic stenosis inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder. However, some people who inherit the altered gene never develop features of SVAS. (This situation is known as reduced penetrance.) In some cases, a person inherits the mutation from one parent who has the mutation. Other cases result from new mutations in the gene and occur in people with no history of the disorder in their family."
What are the treatments for supravalvular aortic stenosis ?,These resources address the diagnosis or management of supravalvular aortic stenosis: - Children's Hospital of Philadelphia - Genetic Testing Registry: Supravalvar aortic stenosis - Monroe Carell Jr. Children's Hospital at Vanderbilt These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by epidermolytic hyperkeratosis ?,"Epidermolytic hyperkeratosis affects approximately 1 in 200,000 to 300,000 people worldwide."
What are the treatments for epidermolytic hyperkeratosis ?,These resources address the diagnosis or management of epidermolytic hyperkeratosis: - Genetic Testing Registry: Bullous ichthyosiform erythroderma - The Swedish Information Centre for Rare Diseases: Ichthyosis These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by progressive familial heart block ?,"The prevalence of progressive familial heart block is unknown. In the United States, about 1 in 5,000 individuals have complete heart block from any cause; worldwide, about 1 in 2,500 individuals have complete heart block."
Is progressive familial heart block inherited ?,"Progressive familial heart block types I and II are inherited in an autosomal dominant pattern, which means one copy of an altered gene in each cell is sufficient to cause the disorder. Some people with TRPM4 gene mutations never develop the condition, a situation known as reduced penetrance. In most cases, an affected person has one parent with progressive familial heart block."
How many people are affected by fucosidosis ?,"Fucosidosis is a rare condition; approximately 100 cases have been reported worldwide. This condition appears to be most prevalent in Italy, Cuba, and the southwestern United States."
Is fucosidosis inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
What are the treatments for fucosidosis ?,These resources address the diagnosis or management of fucosidosis: - Genetic Testing Registry: Fucosidosis These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by Alzheimer disease ?,"Alzheimer disease currently affects an estimated 2.4 million to 4.5 million Americans. Because the risk of developing Alzheimer disease increases with age and more people are living longer, the number of people with this disease is expected to increase significantly in coming decades."
How many people are affected by centronuclear myopathy ?,Centronuclear myopathy is a rare condition; its exact prevalence is unknown.
How many people are affected by glutathione synthetase deficiency ?,Glutathione synthetase deficiency is very rare. This disorder has been described in more than 70 people worldwide.
Is glutathione synthetase deficiency inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
How many people are affected by Koolen-de Vries syndrome ?,"The prevalence of Koolen-de Vries syndrome is estimated to be 1 in 16,000. However, the underlying genetic cause is often not identified in people with intellectual disability, so this condition is likely underdiagnosed."
What are the treatments for Koolen-de Vries syndrome ?,These resources address the diagnosis or management of Koolen-de Vries syndrome: - Gene Review: Gene Review: KANSL1-Related Intellectual Disability Syndrome - Genetic Testing Registry: Koolen-de Vries syndrome These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by Williams syndrome ?,"Williams syndrome affects an estimated 1 in 7,500 to 10,000 people."
What are the treatments for Williams syndrome ?,These resources address the diagnosis or management of Williams syndrome: - Gene Review: Gene Review: Williams Syndrome - Genetic Testing Registry: Williams syndrome - MedlinePlus Encyclopedia: Williams Syndrome These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by juvenile primary osteoporosis ?,"The prevalence of juvenile primary osteoporosis is unknown. Nearly 1 in 10 adults over age 50 have osteoporosis, but the condition is uncommon in children. Osteoporosis can occur at a young age as a feature of other conditions but rarely occurs without other signs and symptoms (primary osteoporosis)."
Is juvenile primary osteoporosis inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder."
What are the treatments for juvenile primary osteoporosis ?,These resources address the diagnosis or management of juvenile primary osteoporosis: - Lucile Packard Children's Hospital at Stanford: Juvenile Osteoporosis - MedlinePlus Encyclopedia: Bone Mineral Density Test - Merck Manual Home Health Edition: Osteoporosis These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by acatalasemia ?,"More than 100 cases of acatalasemia have been reported in the medical literature. Researchers estimate that the condition occurs in about 1 in 12,500 people in Japan, 1 in 20,000 people in Hungary, and 1 in 25,000 people in Switzerland. The prevalence of acatalasemia in other populations is unknown."
What are the treatments for acatalasemia ?,"These resources address the diagnosis or management of acatalasemia: - Genetic Testing Registry: Acatalasemia - Genetic Testing Registry: Acatalasemia, japanese type These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care"
How many people are affected by Kuskokwim syndrome ?,Kuskokwim syndrome is extremely rare. It affects a small number of people from the Yup'ik Eskimo population in southwest Alaska.
Is Kuskokwim syndrome inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
What are the treatments for Kuskokwim syndrome ?,These resources address the diagnosis or management of Kuskokwim syndrome: - Genetic Testing Registry: Kuskokwim disease - Mount Sinai Hospital: Contractures Information These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by ankylosing spondylitis ?,"Ankylosing spondylitis is part of a group of related diseases known as spondyloarthropathies. In the United States, spondyloarthropathies affect 3.5 to 13 per 1,000 people."
